;Nome ;CEP;
739;Pedreira Massaguaçu | Concreto e Artefatos;;
740;N&M PAVIMENTOS 👷🏻;;
741;Lagon Locações;05308-050;
742;Concreto Usinado;;
743;Pedreira Itereré;28035-100;
744;CB Paving Sul Engenharia;;
745;Infrasfalto Eng e Pav Ltda ®;;
746;Prm Pré-Moldados;;
747;CONCRETO USINADO | ARGAMASSA | MINERAÇÃO;;
748;Pavacontece Onde a Pavimentação Acontece em Tempo Real;;
749;CGM Concreto;97900-000;
750;QUALIMIX Concreto e Argamassa;;
751;Tecno Concreto;;
752;Reino do Bloco | Artefatos de Concreto;18640-000;
753;CONCREVESP CONCRETO;;
754;Qualimix Concreto;;
755;POWER MIX | Concretos e Argamassas;;
756;EngMix concreto usinado;;
757;CONCRETO FCK 25 PAULÍNIA SP (19) 9 8983 0855;;
758;🇧🇷 DAMAC MIX 🇧🇷;;
759;FMIX CONCRETO;09852-060;
760;Construtora Saimor;;
761;Angular Pré-moldados - Unidade Vila Velha (ES);;
762;LP Bombeamentos;;
763;Incomix;;
764;Usivale Concretos;;
765;Geramix Concreto;;
766;CONCRELIDER👷‍♂️🚛;;
767;concreto usinado;;
768;Mg mix Cajati;;
769;Constrular Pré-Moldados;;
770;Fera | Concreteira;79150-000;
771;Mapa Concreteira;38621-254;
772;JFS PERFURATRIZ;;
773;Premolucas Estruturas  Pré-fabricados;78455-000;
774;Cabelomix;;
775;Elebbre;;
776;Zanobia Concreto Usinado;;
777;Beton Norte - Concreto e Argamassa;;
778;FORT BETON;;
779;Azimute Pavimentação;88106-500;
780;São Jorge Blocos;;
781;Ibicon Concreto;;
782;Vazmix Concreto;;
783;Amazonia Blocos;78550-000;
784;CIMENTELA;;
785;GreenMix Concreto Fino;;
786;Concreto Concrelaje;;
787;Da-components (Darren Ansbro );TS15 9BG;
788;Artefatos de Cimento Passo Manso;89086-630;
789;Camacon Terraplenagem;;
790;New Mix Concretos;;
791;Concrefred Concreto Usinado;;
792;DTS Concreto Mix;;
793;Asfaltek Pavimentadora Asfaltica;04339-050;
794;Elohim Pré Moldados;;
795;Alugue Maq;38020-425;
796;CDR CONCRETEIRA;;
797;FIT CONCRETO;;
798;Ecomix Argamassas;;
799;Prime Service TEC Maq asfalto;;
800;Infraestruturando;;
801;Usicap - Usinagem Asfáltica;86200-000;
802;Interpav Asfaltos;;
803;Caka Engenharia;;
804;GRUPO CONQUISTAR;;
805;JD Concreto & Artefatos;;
806;FortBeton Concreto;;
807;JSA Construtora/Concreto;;
808;Mundo Concreto;;
809;MundialMix;;
810;Concreto Master | Concreto Usinado;92420-530;
811;Pavsul Asfaltos;;
812;Realmix Concreto e Argamassa;74922-790;
813;Concreto AlphaMix;38706-336;
814;Duvalle Concreto e Pré-moldados;;
815;CONCRETO EXPRESSO;;
816;Artefatos de Cimento São Pedro;;
817;Grezelle Mineração Artefatos e Concreto;84640-000;
818;FÊNIX Construtora TO;;
819;Brasfalto Oficial;;
820;pavimentação em excelência;;
821;Politejo;2050-038;
822;Superbeton Concreto;;
823;Sulconcretos;88955-000;
824;Rei Mix Concreto;13279-403;
825;SERRA CONCRETO;;
826;MAC Usinas de Asfalto;;
827;Bendermix Concretos;;
828;Propostes;;
829;PavFacil- Asfalto Frio;03653-000;
830;Concreto Premoldados;63045-010;
831;BOBMIX;;
832;Cr7 Representações e vendas;;
833;Arcol Artefatos;;
834;Concremassa;;
835;GTL Concreto;;
836;GV Premoldados;;
837;Campina Mix - Concreto e Argamassas;;
838;ARGAMAZZA;;
839;Construtora Fama;15.115-000;
840;NG Asfaltos;;
841;Speed Mix Concreto;;
842;Riblend - CONCRETOS ESPECIAIS;;
843;Rock Construtora;;
844;PLANACON CONSTRUTORA LTDA;79890-000;
845;METROPOLITANA CONCRETO;;
846;Construforte Premoldados;;
847;JP Mix Concreto Bombeado/Locações;;
848;Brasilpav Engenharia;;
849;Concreto Usinado para sua Obra;33170-462;
850;Mason Rental;31371-610;
851;INFRAMATA RENTAL;;
852;CONPASA CONSTRUTORA PARAIBANA - LTDA;;
853;Concre Sudoeste;;
854;ConcreteShow - O Evento da Cadeia Construtiva;;
855;ZEZÃO CONCRETAGEM;12580-000;
856;Pedreira Central Ltda;;
857;Paving;;
858;FM Concreto Bombeado;;
859;SOMAR MÁQUINAS E EQUIPAMENTOS;;
860;EuroPav Asfaltos;;
861;Euro Mix Concretos;35494-000;
862;Grupo Maran;;
863;Di Concreto • Santa Inês/MA;;
864;ConcreArte Pré-moldados;;
865;F.A Mix Concreteira;87507-011;
866;Villa Empreendimentos;;
867;Concreto Usinado Concrelagos;;
868;Walter Lopes Pré-Fabricados;55825-000;
869;Concretar Soluções em Concreto;74394-220;
870;CIA DO CONCRETO;95185-000;
871;Concreaço Sistemas Construtivos;;
872;Loqfácil | Aluguel de maquinas;58034-170;
873;Engenharia - TECVIA Engenharia;;
874;DUMIX CONCRETO;;
875;Grupo CMP;;
876;Polimix Agregados;;
877;Rialma Transmissora de Energia;;
878;ACA TUBOS;07400-000;
879;Poávias - Pavimentação e Limpeza Urbana;;
880;Jc Pavimentação Pavimentação;06454-050;
881;Britador e Concreteira Gerhardt;89868-000;
882;Goldpav Comercio de Peças Ltda;03184-020;
883;Stratura Asfaltos;;
884;DLN Pavimentação;;
885;MS Concretos;88380-000;
886;CONCRETO UFBA;;
887;Concretech;;
888;Brita Calherão;99050-000;
889;Terrapavi Terraplanagem e Pavimentação Ltda;40015-120;
890;Logmix Transportes;;
891;Uzemix;;
892;VRental Seminovos;;
893;CBS Engenharia;65800-000;
894;Grupo Riosul;;
895;PREFORTE;;
896;Concrevia;79750-000;
897;Concreluz;;
898;Faenello Concretos;;
899;MinasMix;;
900;Magalhães Concreto;68795-000;
901;Estruturas Ellwanger;96690-000;
902;BellMix Concretos;;
903;BLAS Máquinas | Locações de Máquinas Pesadas;;
904;Cortesia Equipamentos;03295-000;
905;MT Concreto;;
906;🄲🄾🄽🄲🅁🄴🄽🄾🄿;;
907;ALUGUEL DE EQUIPAMENTOS;;
908;JR Pavimentação;15775-000;
909;Polimix Argentina;B1832EWX;
910;Leon Ravanni Cosméticos;;
911;Concresuper;;
912;Concreto Pimentel Oficial;;
913;IMPERIAL CONCRETO;;
914;Supermix Concreto 🇧🇷;;
915;Engebel Construtora;;
916;Bela Mix Concreto Usinado;;
917;Monte Sião - Pré Moldados;;
918;Portal do Concreto;;
919;EmpresasCity;;
920;Cubmix Concreto Usinado;;
921;2W BLOCOS E PAVERS;;
922;Capital Mix Concretos;;
923;Sertão Mix;;
924;SJR EQUIPAMENTOS;;
925;Concrelucas    | Concreto Usinado;;
926;Basefort Argamassa e Concreto;;
927;Container & Munck 🚛💨 ContRio;;
928;Giamix | Concreteira;;
929;BASE 3 - CONSTRUTORA;75388-433;
930;Grupo Lajes;;
931;Concrepar;;
932;Fibras para concreto MM - São José em SC 🇧🇷;88115-163;
933;Pilar Quimica;;
934;Camacon Concretos;13318-000;
935;Engetek;89778-000;
936;Dynacal Estabilizante de solos;;
937;PLV construtora e Loc;;
938;AR artefatos;;
939;Pé Vermelho;;
940;Armelin Terraplenagem e Engenharia;13360-000;
941;Polixap Indústria e Comércio;;
942;Asfaltopav;86070-545;
943;Betmix Concreto;32649-420;
944;Construtora Simoso Ltda;13801-540;
945;Engemix;;
946;Concre+ Concreto Usinado;;
947;Grupo Fetz;;
948;Souza Mix Concreto;;
949;Pedracon;;
950;Impacto Construção;;
951;ConcreTAO Concreto Usinado;78890-000;
952;ARED CONSTRUÇÃO E PAVIMENTAÇÃO;07177-120;
953;Constroeste - Grupo Faria;;
954;Concretos Trevisan;96930-000;
955;PavConcreto;13082-740;
956;Construtora Guilherme;85813-100;
957;Daniel Augusto Nalin;;
958;BL LOCAÇÕES;35420-160;
959;Britagem Vogelsanger;;
960;SUPERTEX | CONCRETO E ARGAMASSA;;
961;GRUPO RTC;;
962;Confinart;15091-751;
963;Sobral Mix Concreto;;
964;Maahs - Concreto, Asfalto, Areia e Brita;;
965;Comercial Diesel;;
966;CONPATE ENGENHARIA;;
967;Concrevale;95880-0000;
968;KERBERMIX;89703-720;
969;Emam Asfaltos;;
970;Polimix Colombia;;
971;Stabil Argamassa e Concreto;95930-000;
972;Empreser Ltda;;
973;Polimix Concreto;;
974;NORTON CONSTRUTORA;- BA;
975;Funil de Vendas™ | A evolução da educação em vendas;;
976;Hipermix Brasil;;
977;LaraMix Concreto;;
978;BIG Concreto - Novo perfil;;
979;CENAFER;14403-265;
980;CCL CONCRETO;;
981;ConcreMinas Concreto e Argamassa;38280-000;
982;Arte em fazer concreto;;
983;LocExpress Recife | Franquia de Locação de Equipamentos;50750-360;
984;Itacon Concreto;13252-810;
985;D-MIX CONCRETO;;
986;Pedrinco Pedreiras e Concreto;;
987;Concreto Minas;;
988;LigeirinhoMix Concreto e Bomba;;
989;SC MAQUINAS PESADAS 🚜;;
990;CONCREMIX_CONCRETO_USINADO!;;
991;DiBase MIX Concreto;36955-000;
992;Concretix Concreto;;
993;PodCreto;;
994;Max Mohr;;
995;BDS Blocos;78550-292;
996;Concrebras;;
997;Fabrick Concretos;41505-130;
998;Terra Sol | Engenharia Geotécnica;;
999;PAVIMENTA BRASIL;;
1000;Construsul®️;95960-000;
1001;S Retros Pavimentação e Construção;;
1002;Construcenter Garcia;38360-000;
1003;Bruno Amorim pavimentação;;
1004;Areia Ana;88340-000;
1005;JP Pré-moldados;;
1006;Acecon Concreto;;
1007;VLP3 ENGENHARIA;;
1008;Construtora Vale da Serra e Concreto & Concreto;;
1009;Besen Material de Construção;;
1010;InfraBrasil Equipamentos Pesados;06422-100;
1011;Copex Importação e Comércio;;
1012;Brasil Central Infraestruturas - Pavimentação e Maquinário.;;
1013;SmartMassa | Concreto em Recife e região;;
1014;BRITAMIX CONCRETO;;
1015;Kapa Pavimentação;17516-280;
1016;Pará Concretos - Locações - Blocos 🏗️🧱🚧;;
1017;RP Materiais de Construção Ribas do Rio Pardo;;
1018;BETON MIX;;
1019;Rondotubos® Artefatos de Cimento e Pré-moldados;76.970-000;
1020;Brasif Máquinas;;
1021;Quimassa Infraestrutura;;
1022;Grupo TSL - Terraplenagem Santa Luzia;;
1023;Pedreira Rio Quati;;
1024;Putzmeister Brasil;12952-720;
1025;Compacta Engenharia;;
1026;Genésio Simão;;
1027;Coopmix Paraíba;58108-533;
1028;CBR Concreteira Belford Roxo;;
1029;Concretop;;
1030;Concreserv Concreto S/A;01515-000;
1031;Cortesia Concreto;03294-100;
1032;Magalhães Concreto Bombeado;;
1033;VRental;13330-210;
1034;🔴CONCRETEIRA MACHADOMIX (URUMIX)🔵;;
1035;Terraplanagem & Pavimentação;89805-430;
1036;PEDRAMIX;29901-292;
1037;Geomix Geometria;46430-000;
1038;Briforte Concreto;;
1039;ARENA INFRA;;
1040;HA Pavimentação;;
1041;Concreto São Domingos;37072-020;
1042;Concrevip Concreteira;;
1043;Grupo Coplan;;
1044;Concreto Extramix;72910-000;
1045;Concretar | Concreto Usinado;;
1046;Metalpama - Tec. Metalúrgica;16206-012;
1047;Pavsolo Construtora;;
1048;Skavaloc Terraplenagem;32450-0000;
1049;Terraplanagem e Pavimentação;;
1050;Concisa Pavimentação e Terraplanagem;;
1051;concrearte_concreto;;
1052;SBS Engenharia e Construções;91410-150;
1053;Totalmix Pilar;;
1054;Concrebal;;
1055;Concrebase;;
1056;Tabalmix | Sustentabilidade em Concreto;66650-140;
1057;Teixeira Construções;;
1058;ICD Vias;88133-540;
1059;TOPMIX Concreto;;
1060;VMiX Concreto;;
1061;Lokall;75394-195;
1062;Traçado Construções e Serviços;99706-547;
1063;CONCRETO USINADO 🪨;;
1064;GRUPO  LLUCENA;;
1065;Brita Potiguar;;
1066;Locadora Santos&Leão;64207-005;
1067;Fraga Pisos Industriais;;
1068;Lk!🔥;;
1069;G10 Concreto;;
1070;Altomix Concretos;18195-000;
1071;Rede Máquinas Locações de Equipamentos;;
1072;Grupo MALTAMOURA;;
1073;Hidroenergy Engenharia | Construção Civil;;
1074;Weis Ind e Com Equip Agrop;85884-000;
1075;Mega Mix;77818-340;
1076;Arcovan Soluções de Concreto;;
1077;RR Terraplenagem;;
1078;Grupo Sanson;18279-588;
1079;SUPREMO PRÉ FABRICADOS;35430-286;
1080;Concreto Pronto Para Sua Obra;;
1081;Cimento Zumbi;57160-000;
1082;Minasfalto LTDA;32150-100;
1083;Construtora Pomar;;
1084;Concresul;;
1085;UNIMIX CONCRETO USINADO;;
1086;JCM ENGENHARIA;;
1087;Infra S.A.;70.070-010;
1088;Rodorental Maquinas Pesadas;38400-710;
1089;São Miguel Pavimentaçao;;
1090;Sinduscon Oeste / Chapecó;;
1091;Uniforte Locações;;
1092;Traço Forte;;
1093;Pedratermix | Artefatos | Concreto | Agregados;;
1094;Mills;;
1095;Megamix Soluções em Construções;65092-115;
1096;Britador São Judas Tadeu;;
1097;MDX Engenharia;;
1098;Tractorrental Tratores Ltda;;
1099;Grupo Julio & Julio;18020-400;
1100;Ideal Grupo;11600-000;
1101;Neovia Engenharia;;
1102;Grupo Zocar Rio Rental;;
1103; ;38810-000;
1104;Heinig | Soluções em concreto;88355-570;
1105;BURITI INFRAESTRUTURA;65.916-695;
1106;PRESERV MIX - CONCRETO;79321-270;
1107;Amorim Rental Locações e Serviços 🚜🏗;64758-000;
1108;Cimec Concreto ltda;;
1109;PavimentoUrbanodeConcreto;;
1110;Fremix Pavimentação;06463-290;
1111;CHB Rental SP;07075-180;
1112;Grupo JOFEGE;;
1113;Devapav;;
1114;CONCRETAMIX;24942-395;
1115;Conpasul;;
1116;Álya Construtora;;
1117;GUITON;13414-316;
1118;Jefferson Inoue;;
1119;Hidromar Equipamentos;;
1120;Premix Concreto;;
1121;Plenaplan;;
1122;Cheveux Professionnel ®️;;
1123;Faenello - Blocasa;;
1124;JL Mix Pre Moldados e Funilaria;;
1125;Irlanio Brito;;
1126;Concretopontocom | Concreto Usinado;95555-000;
1127;CONCRETMAIS;;
1128;DG RECON ENGENHARIA;;
1129;;;
1130;Concremassa Rio Preto;;
1131;Gadget Glimpse;;
1132;Nogueira Mineração;78099-899;
1133;Margui Engenharia;;
1134;Itaipu Engenharia;;
1135;Massamix;85804-600;
1136;MT MÁQUINAS & PESADOS;;
1137;Irmãos Mury;;
1138;Concrebel Eng. e Construção;;
1139;SS&B Construtora;;
1140;Siga Construtora;;
1141;Grupo Zopone;;
1142;Concrerio;;
1143;Pentax Pré-Fabricados;;
1144;Dimensional Engenharia;;
1145;Roberto Dorner | Prefeito de Sinop;;
1146;Revista M&T;05001-000;
1147;CONCRENORTE LTDA;69909-002;
1148;PAVIMENTAR | Eng&Const;;
1149;TÉRM CONCRETO E ARGAMASSA;;
id;Primeiro Nome;Último Nome;Email;Facebook;Instagram;Linkedin;Telefone 1;Telefone 2;Empresa;Cargo;CPF;Documento;CNAE;CNAE Secundário;Tags;Endereço;Número;Complemento;Cidade;UF;CEP;Biografia;Aniversário;Indicação;Campo Auxiliar;Campo Auxiliar 2
16;Itaueira;pavimentação;Josenildolopes97@gmail.com;;itaueirapavlm;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
18;JH;Construções Pré-moldado;contato@jhpremoldados.com.br;;jh.premoldados;;553734052505;553734052505;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
21;Llucena;Infraestrutura;contatollucena@gmail.com;;llucenainfraestrutura;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
35;Concrelux;;;;_concrelux;;555432313272;555432313272;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
92;Fabio;Brummer | Concreto;;;fabio.concreto;;5547999842877;5547999842877;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
132;SALYSAL;MOSSORO;saldimossoro@gmail.com;;salysalmossoro;;5584999171577;5584999171577;;;;;;;Instagram,prudemquimica,seguidores;;;;;;;;;;;
142;JMV;Engenharia Civil & Equestre;jmvengenharia.contato@gmail.com;;engjmv;;5535997215741;5535997215741;;;;;;;Instagram,prudemquimica,seguidores;;;;;;;;;;;
146;Grupo;Th Engenharia;grupothengenharia@gmail.com;;grupoth_engenharia;;;;;;;;;;Instagram,prudemquimica,seguidores;;;;;;;;;;;
185;Moromix;;moromix@antoniomoro.com.br;;moromixconcreto;;5542991577072;5542991577072;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
186;Inbramix;Bombeamento de Concreto;inbramix@hotmail.com;;inbramix;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
187;Concreleão;;;;concreleao;;5519996582802;5519996582802;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
189;A;Valebeton atua em pequenas, médias e grandes Obras.;jaqueline.diniz@valebeton.com.br;;valebeton.concreto;;5512974070810;5512974070810;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
192;Concrenop;Sorriso;vendassorriso@concrenop.com.br;;concrenopsorriso;;5566999565845;5566999565845;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
193;Nova;Asfaltica;novaasfalticaincorporadora@gmail.com;;asfaltoribeiraopretosp;;5516993188070;5516993188070;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
194;RR;Barros Serviços e Construções;rr_barros@outlook.com;;rrbarrosservicoseconstrucoes;;5567981272476;5567981272476;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
197;CONCRESP;;concresp@concresp.com.br;;concresp.grupo;;551837221914;551837221914;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
198;Jc;Pavimentação e Locações;contato@jcpavimentacao.com.br;;jcpavimentacao;;5511940032444;5511940032444;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
199;Concrefild;- Concreto usinado;;;concrefild_concreto;;551151210931;551151210931;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
200;Coyote;Pavimentação;coyotepav@gmail.com;;coyotepavimentacao;;5511996605482;5511996605482;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
229;Zortéa;Construções 🇧🇷;campolargo@zortea.com.br;;zorteaconstrucoes;;556730278000;556730278000;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
231;ARGAMIX;| Concreto, Construção & Engenharia Profissional;;;argamixconcreto;;5561985944289;5561985944289;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
256;Forcemix;Engenharia De Concreto Ltda;beto_maschietto@yahoo.com.br;;;;551936086650;551936083680;;;;04204134000185;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 5911199 - ATIVIDADES DE PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE | 5912099 - ATIVIDADES DE POS-PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE | 7420001 - ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS, EXCETO AEREA E SUBMARINA | 8211300 - SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO | 7020400 - ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA |;CNE,Nutrindo;;;;SAO JOSE DO RIO PARDO;SP;13720000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
257;Flechamix;Concreto E Locacao Ltda;wellington@ajcontabil.com.br;;;;551120411019;551120410672;FLECHAMIX CONCRETO;;;19044827000125;4744005 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES |;CNE,Sem WhatsApp;;;;SAO PAULO;SP;8061390;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
258;Cimentolit;Industria E Comercio De Argamassas Ltda;maciel@cimentolit.com.br;;;;551934862703;;;;;65846503000551;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive,Sem WhatsApp;;;;CHARQUEADA;SP;13518070;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
260;Base;Blocos De Concreto Ltda;baseblocos@yahoo.com.br;;;;551147174909;;BASE;;;07562654000158;4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;CNE,Redrive;;;;ITAPECERICA DA SERRA;SP;6887300;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;;
261;Artefatos;E Concreto Camanducaia Ltda;ramon@inovacontabil.com.br;;;;551938964305;551938964305;;;;14129745000160;4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;CNE,Redrive;;;;JAGUARIUNA;SP;13910001;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;;
262;Argasol;Argamassa E Artefatos De Concreto Eireli;rafaellopes@asscontabil.com.br;;;;551633012700;;;;;59523647000140;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO |;CNE,Redrive;;;;ARARAQUARA;SP;14808161;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
263;Atrio;Artefatos De Cimento E Materiais Para Construcao Ltda.;contato@rebokleve. com.br;;;;551338412416;;;;;23902031000133;2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;| 2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES | 7732202 - ALUGUEL DE ANDAIMES |;CNE,Redrive;;;;ILHA COMPRIDA;SP;11925000;FABRICACAO DE ESTRUTURAS PREMOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;;;;
264;Bautech;Industria E Comercio De Tintas Ltda;elaine@mset.com.br;;;;551146451033;;BAUTECH;;;10303286000561;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 7420002 - ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS AEREAS E SUBMARINAS | 5911199 - ATIVIDADES DE PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE |;CNE,Redrive;;;;ITAQUAQUECETUBA;SP;8597610;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
266;Atelier;Do Concreto Bottoni & Pereira Ltda;arq.cpereira@gmail.com;;;;551150529498;;ATELIER DO CONCRETO BOTTONI & PEREIRA LTDA;;;29997516000134;4744005 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 7111100 - SERVICOS DE ARQUITETURA |;CNE,Redrive;;;;SAO PAULO;SP;4304000;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
267;Aline;Nascimento Lopes Dos Santos  Locacao De Bombas Para Concreto;al7016010@gmail.com;;;;5511973285777;;FORMIGAO MIX PREST.SERV.BOMBEAMETO CONCRETO;;;35652444000196;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;| 4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE |;CNE,Redrive;;;;FRANCO DA ROCHA;SP;7808140;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
272;A.f.;Da Silva & Pereira Ltda.;brasilfixbauru@hotmail.com;;;;551432036597;;BRASILFIX;;;10838768000192;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;BAURU;SP;17034430;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
273;Admix;Comercio De Concreto Usinado Ltda;comercial@admixconcreto.com.br;;;;551134975016;;ADMIX CONCRETO;;;28219306000152;4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;| 4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE | 4742300 - COMERCIO VAREJISTA DE MATERIAL ELETRICO | 4744003 - COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS | 4744004 - COMERCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS | 4399103 - OBRAS DE ALVENARIA |;CNE,Redrive;;;;GUARULHOS;SP;7151660;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;;
275;Antonio;Carlos Souza Santana Maquinas;josue.f.silva@terra.com.br;;;;551124666991;;M. MIX CONCRETO USINADO;;;11763551000123;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;| 4399102 - MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORARIAS | 7732202 - ALUGUEL DE ANDAIMES |;CNE,Redrive;;;;GUARULHOS;SP;7161540;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
277;Brag;Pisos Polidos Em Concreto Usinado Ltda;denisemm@uol.com.br;;;;551140332623;;;;;23306224000121;4330499 - OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;;CNE,Redrive;;;;BRAGANCA PAULISTA;SP;12900304;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;;;;
278;Blockmix;Concretos E Argamassas Ltda;nfe@blockmixconcretos.com.br;;;;551833213879;;BLOCKMIX;;;15604045000142;4120400 - CONSTRUCAO DE EDIFICIOS;| 4755502 - COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO |;CNE,Redrive;;;;ASSIS;SP;19806081;CONSTRUCAO DE EDIFICIOS;;;;
